,I Year,,To be given for 12 sections,,,,,,,,,,,,,,,,
14,AA2,IOT,Dr.Venkata Narayana,,AA2,IOT,Dr.Dayana,,AA2,IOT,Dr.Angayarkanni,,AA2,IOT,Dr.Supraja 2,,AA2,IOT,Dr.Koyal Gosh
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,III Year,,,,,,,,,,,,,,,,,,
,21CSS303T,Data Science,F slot,,21CSC303J,Software Engineering and Project Management,B slot,,21LEM302T,Indian Traditional Knowledge,,,Special core,,C slot,,,,
1,U1,Cloud,Dr.Justina,,U1,Cloud,Dr.Saveetha,,U1,Cloud,Dr.Senthamarai,,21CSC316J Cloud Architecture and Protocols,U1,Cloud,Dr.Vijay Vasanth,,,
2,V1,Cloud,Dr.Lakshmi Devi,,V1,Cloud,Dr.Savaridasan,,V1,Cloud,Dr.Lakshmi Devi,,,V1,Cloud,Dr.Ramya,,,
3,W1,Cloud,Dr.Ramesh,,W1,Cloud,Dr.Gouthaman,,W1,Cloud,Dr.Fancy,,,W1,Cloud,Dr.Vasanth Kumar,,,
4,X1,Cyber,Dr.Rajesh Kumar,,X1,Cyber,Dr.Geetha,,X1,Cyber,Dr.Karthikeyan,,21CSC310J Malware Analysis,X1,Cyber,Dr.Suseela,,,
5,Y1,Cyber,Ms.Carline,,Y1,Cyber,Dr.Lakshmi Narayanan,,Y1,Cyber,Dr.Lakshmi Narayanan,,,Y1,Cyber,Dr.Nithya,,,
6,Z1,Cyber,Dr.Ramya,,Z1,Cyber,Ms. R.Abirami,,Z1,Cyber,Dr.Deepa,,,Z1,Cyber,Dr.Kayalvizhi,,,
7,AA1,Cyber,Dr.N .Saravanan,,AA1,Cyber,Dr.Dayana,,AA1,Cyber,Dr.Dayana,,,AA1,Cyber,Dr.Balaji Srikanth,,,
8,T2,Cyber,Ms. Jasmine,,T2,Cyber,Dr.Rajaram,,T2,Cyber,Dr.SivaKumar,,,T2,Cyber,Dr.Sundarrajan,,,
9,U2,"Cyber, M.Tech(I)",Dr.Avinash,,U2,"Cyber, M.Tech(I)",Dr.Banu Priya,,U2,"Cyber, M.Tech(I)",Dr.Deepika,,,U2,"Cyber, M.Tech(I)",Dr.Tamil Selvi,,,
10,V2,CS CN,Dr.Meenakshi,,V2,CS CN,Dr.Deepa Thilak,,V2,CS CN,Dr.Muruganandham,,21CSC312J Mobile Adhoc Networks,V2,CS CN,Dr.Meena LC,,,
11,W2,"CS CN, CS IT",Dr.Preethiya,,W2,"CS CN, CS IT",Dr.Kalai Selvi,,W2,"CS CN, CS IT",Dr.Swathy,,,W2,"CS CN,(20)",Dr.Fancy,,,
12,X2,CS IT,Dr.Rohan Kumar,,X2,CS IT,Dr. Balakirutyhiga,,X2,CS IT,Dr.Nithya,,21CSC317J Information Retrieval Techniques,,CS IT(39),Dr.Saranya ,,,
13,Y2,"CS IT,CS IOT",Ms.Carline 2,,Y2,"CS IT,CS IOT",Dr.Niveditha,,Y2,"CS IT,CS IOT",Dr.Nivedhitha,,,X2,CS IT,Dr.Arun,,,
14,Z2,CS IOT,Dr.Meena LC,,Z2,CS IOT,Dr.Siva Mohan,,Z2,CS IOT,Dr.Maranco,,,Y2,CS IT(39),Dr.Gayathri,,,
,,,,,,,,,,,,,21CSC315J Fog Computing,,CS IOT(19),Dr.Prasath,,,
,,,,,,,,,,,,,,Z2,CS IOT,Dr.N.Saravanan,,,
